lat,lon,start_date,end_date,stress_index,crop_type,field_id,region
52.31,0.52,01/04/2022,30/06/2022,0.81,wheat,ea_001,east_anglia
52.45,0.78,01/04/2022,30/06/2022,0.35,wheat,ea_002,east_anglia
52.18,1.05,01/05/2022,31/07/2022,0.62,barley,ea_003,east_anglia
52.67,0.31,01/05/2022,31/07/2022,0.20,oilseed_rape,ea_004,east_anglia
52.55,0.65,01/06/2022,31/08/2022,0.74,wheat,ea_005,east_anglia
51.82,-1.25,01/04/2022,30/06/2022,0.45,wheat,ox_001,thames_valley
51.70,-1.10,01/04/2022,30/06/2022,0.28,barley,ox_002,thames_valley
51.95,-1.42,01/05/2022,31/07/2022,0.67,wheat,ox_003,thames_valley
51.60,-0.95,01/06/2022,31/08/2022,0.53,maize,ox_004,thames_valley
53.20,-0.55,01/04/2022,30/06/2022,0.38,wheat,li_001,lincolnshire
53.45,-0.32,01/04/2022,30/06/2022,0.71,sugar_beet,li_002,lincolnshire
53.10,-0.78,01/05/2022,31/07/2022,0.22,barley,li_003,lincolnshire
53.35,-0.45,01/06/2022,31/08/2022,0.59,wheat,li_004,lincolnshire
54.10,-1.55,01/04/2022,30/06/2022,0.44,wheat,yk_001,yorkshire
54.25,-1.30,01/05/2022,31/07/2022,0.66,barley,yk_002,yorkshire
54.05,-1.72,01/06/2022,31/08/2022,0.30,oilseed_rape,yk_003,yorkshire
51.30,-0.62,01/04/2023,30/06/2023,0.55,wheat,su_001,surrey
51.45,-0.38,01/05/2023,31/07/2023,0.78,barley,su_002,surrey
52.80,-2.10,01/04/2023,30/06/2023,0.41,wheat,sa_001,shropshire
52.65,-2.35,01/05/2023,31/07/2023,0.69,maize,sa_002,shropshire
